gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,Churn,TicketMedio,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,NumServicos,Risk_Score,Risk_Tier
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,29.85,0,29.85,0,0,0,1,0,1,74,Alto Risco
1,0,0,0,34,1,0,1,0,1,0,0,0,1,0,56.95,0,55.5735294117647,0,0,0,0,1,3,16,Baixo Risco
1,0,0,0,2,1,0,1,1,0,0,0,0,0,1,53.85,1,54.075,0,0,0,0,1,3,51,Risco Medio
1,0,0,0,45,0,0,1,0,1,1,0,0,1,0,42.3,0,40.90555555555556,0,0,0,0,0,3,12,Baixo Risco
0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,70.7,1,75.825,1,0,0,1,0,1,85,Alto Risco
0,0,0,0,8,1,1,0,0,1,0,1,1,0,1,99.65,1,102.5625,1,0,0,1,0,5,90,Alto Risco
1,0,0,1,22,1,1,0,1,0,0,1,0,0,1,89.1,0,88.60909090909091,1,0,1,0,0,4,70,Risco Medio
0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,29.75,0,30.19,0,0,0,0,1,1,48,Risco Medio
0,0,1,0,28,1,1,0,0,1,1,1,1,0,1,104.8,1,108.7875,1,0,0,1,0,6,80,Alto Risco
1,0,0,1,62,1,0,1,1,0,0,0,0,1,0,56.15,0,56.25725806451613,0,0,0,0,0,3,6,Baixo Risco
1,0,1,1,13,1,0,1,0,0,0,0,0,0,1,49.95,0,45.18846153846154,0,0,0,0,1,2,41,Risco Medio
1,0,0,0,16,1,0,0,0,0,0,0,0,2,0,18.95,0,20.425,0,1,1,0,0,1,9,Baixo Risco
1,0,1,0,58,1,1,0,0,1,0,1,1,1,0,100.35,0,97.95,1,0,1,0,0,5,38,Risco Medio
1,0,0,0,49,1,1,0,1,1,0,1,1,0,1,103.7,1,102.78163265306122,1,0,0,0,0,6,66,Risco Medio
1,0,0,0,25,1,0,1,0,1,1,1,1,0,1,105.5,0,107.442,1,0,0,1,0,6,72,Alto Risco
0,0,1,1,69,1,1,1,1,1,1,1,1,2,0,113.25,0,114.42246376811592,1,0,1,0,0,8,7,Baixo Risco
0,0,0,0,52,1,0,0,0,0,0,0,0,1,0,20.65,0,19.672115384615385,0,1,0,0,1,1,7,Baixo Risco
1,0,0,1,71,1,1,1,0,1,0,1,1,2,0,106.7,0,103.97535211267606,1,0,0,0,0,6,12,Baixo Risco
0,0,1,1,10,1,0,0,0,1,1,0,0,0,0,55.2,1,52.835,0,0,1,0,0,3,33,Risco Medio
0,0,0,0,21,1,0,0,1,1,0,0,1,0,1,90.05,0,88.70952380952382,1,0,0,1,0,4,79,Alto Risco
1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,39.65,1,39.65,0,0,0,1,0,2,84,Alto Risco
1,0,1,0,12,1,0,0,0,0,0,0,0,1,0,19.8,0,16.854166666666668,0,1,0,0,0,1,17,Baixo Risco
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.15,1,20.15,0,1,0,0,1,1,37,Risco Medio
0,0,1,0,58,1,1,0,1,0,1,0,0,2,1,59.9,0,60.43275862068965,0,0,1,0,0,4,7,Baixo Risco
